Date,Event,Country,Unique Users
2019-08,All Events - Unique,Ethiopia,599
2019-08,All Events - Unique,Myanmar,607
2019-08,All Events - Unique,South Sudan,202
2019-08,All Events - Unique,Sudan,17
2019-08,All Events - Unique,Syria,16
2019-08,All Events - Unique,Ukraine,314
2019-08,All Events - Unique,Venezuela,68
2019-08,All Events - Unique,Yemen,735
2019-09,All Events - Unique,Afghanistan,317
2019-09,All Events - Unique,Congo,431
2019-09,All Events - Unique,Ethiopia,506
2019-09,All Events - Unique,Myanmar,445
2019-09,All Events - Unique,South Sudan,240
2019-09,All Events - Unique,Sudan,19
2019-09,All Events - Unique,Syria,20
2019-09,All Events - Unique,Ukraine,360
2019-09,All Events - Unique,Venezuela,97
2019-09,All Events - Unique,Yemen,691
2019-10,All Events - Unique,Afghanistan,378
2019-10,All Events - Unique,Congo,378
2019-10,All Events - Unique,Ethiopia,570
2019-10,All Events - Unique,Myanmar,399
2019-10,All Events - Unique,South Sudan,321
2019-10,All Events - Unique,Sudan,28
2019-10,All Events - Unique,Syria,15
2019-10,All Events - Unique,Ukraine,375
2019-10,All Events - Unique,Venezuela,192
2019-10,All Events - Unique,Yemen,802
2019-11,All Events - Unique,Afghanistan,371
2019-11,All Events - Unique,Congo,482
2019-11,All Events - Unique,Ethiopia,705
2019-11,All Events - Unique,Myanmar,432
2019-11,All Events - Unique,South Sudan,274
2019-11,All Events - Unique,Sudan,28
2019-11,All Events - Unique,Syria,20
2019-11,All Events - Unique,Ukraine,419
2019-11,All Events - Unique,Venezuela,231
2019-11,All Events - Unique,Yemen,924
2019-12,All Events - Unique,Afghanistan,407
2019-12,All Events - Unique,Congo,533
2019-12,All Events - Unique,Ethiopia,668
2019-12,All Events - Unique,Myanmar,543
2019-12,All Events - Unique,South Sudan,185
2019-12,All Events - Unique,Sudan,32
2019-12,All Events - Unique,Syria,17
2019-12,All Events - Unique,Ukraine,378
2019-12,All Events - Unique,Venezuela,131
2019-12,All Events - Unique,Yemen,869
2020-01,All Events - Unique,Afghanistan,414
2020-01,All Events - Unique,Congo,463
2020-01,All Events - Unique,Ethiopia,616
2020-01,All Events - Unique,Myanmar,691
2020-01,All Events - Unique,South Sudan,183
2020-01,All Events - Unique,Sudan,28
2020-01,All Events - Unique,Syria,24
2020-01,All Events - Unique,Ukraine,380
2020-01,All Events - Unique,Venezuela,261
2020-01,All Events - Unique,Yemen,639
2020-02,All Events - Unique,Afghanistan,396
2020-02,All Events - Unique,Congo,542
2020-02,All Events - Unique,Ethiopia,605
2020-02,All Events - Unique,Myanmar,652
2020-02,All Events - Unique,South Sudan,229
2020-02,All Events - Unique,Sudan,32
2020-02,All Events - Unique,Syria,13
2020-02,All Events - Unique,Ukraine,425
2020-02,All Events - Unique,Venezuela,351
2020-02,All Events - Unique,Yemen,615
2020-03,All Events - Unique,Afghanistan,669
2020-03,All Events - Unique,Congo,807
2020-03,All Events - Unique,Ethiopia,798
2020-03,All Events - Unique,Myanmar,917
2020-03,All Events - Unique,South Sudan,237
2020-03,All Events - Unique,Sudan,62
2020-03,All Events - Unique,Syria,0
2020-03,All Events - Unique,Ukraine,898
2020-03,All Events - Unique,Venezuela,589
2020-03,All Events - Unique,Yemen,885
2020-04,All Events - Unique,Afghanistan,578
2020-04,All Events - Unique,Congo,606
2020-04,All Events - Unique,Ethiopia,1353
2020-04,All Events - Unique,Myanmar,687
2020-04,All Events - Unique,South Sudan,226
2020-04,All Events - Unique,Sudan,73
2020-04,All Events - Unique,Syria,2
2020-04,All Events - Unique,Ukraine,939
2020-04,All Events - Unique,Venezuela,807
2020-04,All Events - Unique,Yemen,784
2020-05,All Events - Unique,Afghanistan,431
2020-05,All Events - Unique,Congo,546
2020-05,All Events - Unique,Ethiopia,1139
2020-05,All Events - Unique,Myanmar,1025
2020-05,All Events - Unique,South Sudan,202
2020-05,All Events - Unique,Sudan,47
2020-05,All Events - Unique,Syria,2
2020-05,All Events - Unique,Ukraine,623
2020-05,All Events - Unique,Venezuela,519
2020-05,All Events - Unique,Yemen,526
2020-06,All Events - Unique,Afghanistan,350
2020-06,All Events - Unique,Congo,490
2020-06,All Events - Unique,Ethiopia,999
2020-06,All Events - Unique,Myanmar,844
2020-06,All Events - Unique,South Sudan,178
2020-06,All Events - Unique,Sudan,39
2020-06,All Events - Unique,Syria,4
2020-06,All Events - Unique,Ukraine,399
2020-06,All Events - Unique,Venezuela,443
2020-06,All Events - Unique,Yemen,570
2020-07,All Events - Unique,Afghanistan,353
2020-07,All Events - Unique,Congo,665
2020-07,All Events - Unique,Ethiopia,402
2020-07,All Events - Unique,Myanmar,705
2020-07,All Events - Unique,South Sudan,183
2020-07,All Events - Unique,Sudan,27
2020-07,All Events - Unique,Syria,2
2020-07,All Events - Unique,Ukraine,362
2020-07,All Events - Unique,Venezuela,464
2020-07,All Events - Unique,Yemen,629
2020-08,All Events - Unique,Afghanistan,451
2020-08,All Events - Unique,Congo,549
2020-08,All Events - Unique,Ethiopia,967
2020-08,All Events - Unique,Myanmar,832
2020-08,All Events - Unique,South Sudan,189
2020-08,All Events - Unique,Sudan,31
2020-08,All Events - Unique,Syria,2
2020-08,All Events - Unique,Ukraine,390
2020-08,All Events - Unique,Venezuela,481
2020-08,All Events - Unique,Yemen,820
2020-09,All Events - Unique,Afghanistan,439
2020-09,All Events - Unique,Congo,826
2020-09,All Events - Unique,Ethiopia,988
2020-09,All Events - Unique,Myanmar,976
2020-09,All Events - Unique,South Sudan,242
2020-09,All Events - Unique,Sudan,56
2020-09,All Events - Unique,Syria,1
2020-09,All Events - Unique,Ukraine,440
2020-09,All Events - Unique,Venezuela,417
2020-09,All Events - Unique,Yemen,927
2020-10,All Events - Unique,Afghanistan,431
2020-10,All Events - Unique,Congo,654
2020-10,All Events - Unique,Ethiopia,1266
2020-10,All Events - Unique,Myanmar,888
2020-10,All Events - Unique,South Sudan,264
2020-10,All Events - Unique,Sudan,88
2020-10,All Events - Unique,Syria,4
2020-10,All Events - Unique,Ukraine,582
2020-10,All Events - Unique,Venezuela,325
2020-10,All Events - Unique,Yemen,1141
2020-11,All Events - Unique,Afghanistan,405
2020-11,All Events - Unique,Congo,595
2020-11,All Events - Unique,Ethiopia,1539
2020-11,All Events - Unique,Myanmar,688
2020-11,All Events - Unique,South Sudan,323
2020-11,All Events - Unique,Sudan,107
2020-11,All Events - Unique,Syria,13
2020-11,All Events - Unique,Ukraine,653
2020-11,All Events - Unique,Venezuela,503
2020-11,All Events - Unique,Yemen,995
2020-12,All Events - Unique,Afghanistan,519
2020-12,All Events - Unique,Congo,614
2020-12,All Events - Unique,Ethiopia,1599
2020-12,All Events - Unique,Myanmar,691
2020-12,All Events - Unique,South Sudan,221
2020-12,All Events - Unique,Sudan,57
2020-12,All Events - Unique,Syria,3
2020-12,All Events - Unique,Ukraine,549
2020-12,All Events - Unique,Venezuela,413
2020-12,All Events - Unique,Yemen,989
2021-01,All Events - Unique,Afghanistan,574
2021-01,All Events - Unique,Congo,594
2021-01,All Events - Unique,Ethiopia,1468
2021-01,All Events - Unique,Myanmar,904
2021-01,All Events - Unique,South Sudan,345
2021-01,All Events - Unique,Sudan,123
2021-01,All Events - Unique,Syria,8
2021-01,All Events - Unique,Ukraine,492
2021-01,All Events - Unique,Venezuela,479
2021-01,All Events - Unique,Yemen,929
2021-02,All Events - Unique,Afghanistan,439
2021-02,All Events - Unique,Congo,748
2021-02,All Events - Unique,Ethiopia,1232
2021-02,All Events - Unique,Myanmar,243
2021-02,All Events - Unique,South Sudan,393
2021-02,All Events - Unique,Sudan,705
2021-02,All Events - Unique,Syria,4
2021-02,All Events - Unique,Ukraine,483
2021-02,All Events - Unique,Venezuela,444
2021-02,All Events - Unique,Yemen,1054
2021-03,All Events - Unique,Afghanistan,431
2021-03,All Events - Unique,Congo,729
2021-03,All Events - Unique,Ethiopia,1353
2021-03,All Events - Unique,Myanmar,192
2021-03,All Events - Unique,South Sudan,274
2021-03,All Events - Unique,Sudan,678
2021-03,All Events - Unique,Syria,13
2021-03,All Events - Unique,Ukraine,674
2021-03,All Events - Unique,Venezuela,438
2021-03,All Events - Unique,Yemen,1009
2021-04,All Events - Unique,Afghanistan,476
2021-04,All Events - Unique,Congo,774
2021-04,All Events - Unique,Ethiopia,1581
2021-04,All Events - Unique,Myanmar,253
2021-04,All Events - Unique,South Sudan,281
2021-04,All Events - Unique,Sudan,516
2021-04,All Events - Unique,Syria,2
2021-04,All Events - Unique,Ukraine,2213
2021-04,All Events - Unique,Venezuela,644
2021-04,All Events - Unique,Yemen,706
2021-05,All Events - Unique,Afghanistan,527
2021-05,All Events - Unique,Congo,823
2021-05,All Events - Unique,Ethiopia,1349
2021-05,All Events - Unique,Myanmar,396
2021-05,All Events - Unique,South Sudan,273
2021-05,All Events - Unique,Sudan,566
2021-05,All Events - Unique,Syria,17
2021-05,All Events - Unique,Ukraine,498
2021-05,All Events - Unique,Venezuela,428
2021-05,All Events - Unique,Yemen,651
2021-06,All Events - Unique,Afghanistan,514
2021-06,All Events - Unique,Congo,719
2021-06,All Events - Unique,Ethiopia,1440
2021-06,All Events - Unique,Myanmar,438
2021-06,All Events - Unique,South Sudan,324
2021-06,All Events - Unique,Sudan,649
2021-06,All Events - Unique,Syria,17
2021-06,All Events - Unique,Ukraine,455
2021-06,All Events - Unique,Venezuela,497
2021-06,All Events - Unique,Yemen,931
2021-07,All Events - Unique,Afghanistan,505
2021-07,All Events - Unique,Congo,662
2021-07,All Events - Unique,Ethiopia,1348
2021-07,All Events - Unique,Myanmar,335
2021-07,All Events - Unique,South Sudan,261
2021-07,All Events - Unique,Sudan,661
2021-07,All Events - Unique,Syria,5
2021-07,All Events - Unique,Ukraine,589
2021-07,All Events - Unique,Venezuela,465
2021-07,All Events - Unique,Yemen,737
2021-08,All Events - Unique,Afghanistan,437
2021-08,All Events - Unique,Congo,802
2021-08,All Events - Unique,Ethiopia,1542
2021-08,All Events - Unique,Myanmar,359
2021-08,All Events - Unique,South Sudan,253
2021-08,All Events - Unique,Sudan,660
2021-08,All Events - Unique,Syria,15
2021-08,All Events - Unique,Ukraine,4277
2021-08,All Events - Unique,Venezuela,462
2021-08,All Events - Unique,Yemen,973
2021-09,All Events - Unique,Afghanistan,574
2021-09,All Events - Unique,Congo,665
2021-09,All Events - Unique,Ethiopia,1557
2021-09,All Events - Unique,Myanmar,477
2021-09,All Events - Unique,South Sudan,362
2021-09,All Events - Unique,Sudan,723
2021-09,All Events - Unique,Syria,24
2021-09,All Events - Unique,Ukraine,413
2021-09,All Events - Unique,Venezuela,394
2021-09,All Events - Unique,Yemen,943
2021-10,All Events - Unique,Afghanistan,690
2021-10,All Events - Unique,Congo,759
2021-10,All Events - Unique,Ethiopia,1612
2021-10,All Events - Unique,Myanmar,448
2021-10,All Events - Unique,South Sudan,612
2021-10,All Events - Unique,Sudan,705
2021-10,All Events - Unique,Syria,7
2021-10,All Events - Unique,Ukraine,474
2021-10,All Events - Unique,Venezuela,447
2021-10,All Events - Unique,Yemen,1003
2021-11,All Events - Unique,Afghanistan,744
2021-11,All Events - Unique,Congo,786
2021-11,All Events - Unique,Ethiopia,1360
2021-11,All Events - Unique,Myanmar,599
2021-11,All Events - Unique,South Sudan,481
2021-11,All Events - Unique,Sudan,496
2021-11,All Events - Unique,Syria,17
2021-11,All Events - Unique,Ukraine,558
2021-11,All Events - Unique,Venezuela,424
2021-11,All Events - Unique,Yemen,973
2021-12,All Events - Unique,Afghanistan,711
2021-12,All Events - Unique,Congo,767
2021-12,All Events - Unique,Ethiopia,1607
2021-12,All Events - Unique,Myanmar,559
2021-12,All Events - Unique,South Sudan,335
2021-12,All Events - Unique,Sudan,718
2021-12,All Events - Unique,Syria,5
2021-12,All Events - Unique,Ukraine,485
2021-12,All Events - Unique,Venezuela,335
2021-12,All Events - Unique,Yemen,925
2022-01,All Events - Unique,Afghanistan,799
2022-01,All Events - Unique,Congo,850
2022-01,All Events - Unique,Ethiopia,1494
2022-01,All Events - Unique,Myanmar,715
2022-01,All Events - Unique,South Sudan,329
2022-01,All Events - Unique,Sudan,607
2022-01,All Events - Unique,Syria,1
2022-01,All Events - Unique,Ukraine,496
2022-01,All Events - Unique,Venezuela,541
2022-01,All Events - Unique,Yemen,885
2022-02,All Events - Unique,Afghanistan,723
2022-02,All Events - Unique,Congo,849
2022-02,All Events - Unique,Ethiopia,1882
2022-02,All Events - Unique,Myanmar,613
2022-02,All Events - Unique,South Sudan,422
2022-02,All Events - Unique,Sudan,785
2022-02,All Events - Unique,Syria,8
2022-02,All Events - Unique,Ukraine,510
2022-02,All Events - Unique,Venezuela,460
2022-02,All Events - Unique,Yemen,1306
2022-03,All Events - Unique,Afghanistan,1041
2022-03,All Events - Unique,Congo,1107
2022-03,All Events - Unique,Ethiopia,2685
2022-03,All Events - Unique,Myanmar,596
2022-03,All Events - Unique,South Sudan,731
2022-03,All Events - Unique,Sudan,1009
2022-03,All Events - Unique,Syria,5
2022-03,All Events - Unique,Ukraine,1769
2022-03,All Events - Unique,Venezuela,806
2022-03,All Events - Unique,Yemen,1648
2022-04,All Events - Unique,Afghanistan,757
2022-04,All Events - Unique,Congo,1266
2022-04,All Events - Unique,Ethiopia,2730
2022-04,All Events - Unique,Myanmar,448
2022-04,All Events - Unique,South Sudan,622
2022-04,All Events - Unique,Sudan,730
2022-04,All Events - Unique,Syria,8
2022-04,All Events - Unique,Ukraine,2216
2022-04,All Events - Unique,Venezuela,727
2022-04,All Events - Unique,Yemen,1057
2022-05,All Events - Unique,Afghanistan,728
2022-05,All Events - Unique,Congo,1124
2022-05,All Events - Unique,Ethiopia,3127
2022-05,All Events - Unique,Myanmar,567
2022-05,All Events - Unique,South Sudan,501
2022-05,All Events - Unique,Sudan,760
2022-05,All Events - Unique,Syria,0
2022-05,All Events - Unique,Ukraine,2653
2022-05,All Events - Unique,Venezuela,907
2022-05,All Events - Unique,Yemen,1313
2022-06,All Events - Unique,Afghanistan,912
2022-06,All Events - Unique,Congo,1045
2022-06,All Events - Unique,Ethiopia,3071
2022-06,All Events - Unique,Myanmar,574
2022-06,All Events - Unique,South Sudan,612
2022-06,All Events - Unique,Sudan,682
2022-06,All Events - Unique,Syria,4
2022-06,All Events - Unique,Ukraine,2383
2022-06,All Events - Unique,Venezuela,838
2022-06,All Events - Unique,Yemen,1289
2022-07,All Events - Unique,Afghanistan,734
2022-07,All Events - Unique,Congo,1029
2022-07,All Events - Unique,Ethiopia,2989
2022-07,All Events - Unique,Myanmar,630
2022-07,All Events - Unique,South Sudan,501
2022-07,All Events - Unique,Sudan,569
2022-07,All Events - Unique,Syria,5
2022-07,All Events - Unique,Ukraine,2068
2022-07,All Events - Unique,Venezuela,771
2022-07,All Events - Unique,Yemen,1039
2022-08,All Events - Unique,Afghanistan,358
2022-08,All Events - Unique,Congo,557
2022-08,All Events - Unique,Ethiopia,1441
2022-08,All Events - Unique,Myanmar,441
2022-08,All Events - Unique,South Sudan,209
2022-08,All Events - Unique,Sudan,468
2022-08,All Events - Unique,Syria,7
2022-08,All Events - Unique,Ukraine,947
2022-08,All Events - Unique,Venezuela,484
2022-08,All Events - Unique,Yemen,636
